target,n,accuracy,f1,roc_auc
renal_risk_high,9254,0.9983792544570502,0.994328922495274,0.999996442209625
cardiometabolic_risk_high,9254,0.9913560237709347,0.976401179941003,0.9997257347421907
hepatic_risk_high,9254,0.9945975148568341,0.9664429530201343,0.9997093851282169
multi_system_burden_high,9254,0.9616423554835224,0.7360594795539034,0.992487149070779
